FORD
tid attemp_tp tp 50lat 99lat
7 109024 91943.1 67.697 128.776
9 100165 84534 73.58 137.79
12 98675 83225.2 74.598 139.943
15 90408.4 76167.8 81.577 150.645
14 89021.4 75031.5 82.755 153.42
11 88796 74834.7 82.983 153.538
13 86273.4 72835.3 85.431 154.534
8 85524.6 72157.6 86.114 159.447
10 82031.7 69214.1 88.6 164.685
6 80807 68170 91.007 168.093
2 77947.6 65807 94.251 177.942
4 77853.6 65746.1 93.705 180.448
0 72777.8 61529.3 100.802 190.962
1 70418.7 59640.7 63.942 597.773
5 68833 58061.2 83.693 535.03
3 64250.5 54580.5 75.416 671.419
1.34281e+06 1.13348e+06 63.942 100.802 82.8844 128.776 671.419 241.528

FORD
tid attemp_tp tp 50lat 99lat
7 131698 111775 55.611 209.283
6 120011 101816 61.486 214.558
13 116017 98462.9 63.751 213.255
5 114497 97080.4 64.731 212.38
9 109479 92919.9 67.649 213.159
14 107239 90988.1 69.205 214.347
11 106211 90041.8 70.068 213.253
15 99500.3 84390.5 74.833 213.637
8 98904.9 83962.8 75.372 216.981
10 97419.2 82674.4 76.319 217.249
12 94567.5 80211 78.913 219.268
2 90688.3 77045.1 81.481 223.031
0 89691.7 76202.4 81.101 223.683
4 89568.7 76002.9 83.478 221.226
3 77274.7 65872.4 62.536 791.136
1 76748.4 65517.5 50.385 786.103
1.61951e+06 1.37496e+06 50.385 83.478 69.8074 209.283 791.136 287.659

FORD
tid attemp_tp tp 50lat 99lat
15 31140.9 26434.1 242.707 434.169
14 30694.1 26074.8 246.272 438.228
2 30423.5 25841.8 248.448 444.248
10 30385.7 25794.2 248.854 443.738
12 30041.9 25519.9 251.685 447.916
8 29979.3 25459.5 252.164 448.424
4 29846.6 25351.6 253.368 451.921
6 29660.4 25184.7 255.082 455.212
0 29302.1 24902.8 258.088 461.137
3 27817.8 23635 228.325 1223.64
1 27701.6 23508.6 233.363 1156.54
9 27643.8 23526.8 230.444 1213.61
5 27639.1 23507.1 228.08 1251.74
7 27589.8 23466.1 228.266 1256.57
13 27562.4 23433.5 254.837 1010.39
11 27479.4 23367.5 238.589 1199.94
464909 395008 228.08 258.088 243.661 434.169 1256.57 771.09

FORD
tid attemp_tp tp 50lat 99lat
7 115906 98428 60.975 356.174
5 114981 97582.2 61.987 356.541
13 97583.8 82787 75.682 357.175
12 87693 74286.7 85.448 357.685
9 86030.3 72868.3 87.769 357.367
10 84033.9 71122.6 90.328 358.852
14 83570.1 70767.3 90.522 359.379
11 83111.5 70320.4 91.404 358.233
15 81729.5 69211 93.309 357.318
4 81191.7 68816.4 94.649 359.598
8 79551.3 67394.7 96.159 358.74
2 78758.1 66740.8 98.435 358.88
6 74497.6 63125.2 107.774 359.482
3 72965.3 61944.9 56.699 713.855
0 72453.9 61468.8 114.313 360.61
1 68686.3 58327.9 48.142 742.556
1.36274e+06 1.15519e+06 48.142 114.313 84.5997 356.174 742.556 404.528

FORD
tid attemp_tp tp 50lat 99lat
9 140647 119497 51.937 207.764
11 123783 105060 59.502 209.39
13 113955 96741.6 64.986 211.064
7 104054 88270.8 71.587 212.96
15 103798 88050.8 71.725 213.082
5 103758 88008.5 68.859 287.905
0 102969 87335.3 72.236 215.201
2 98932.6 83924.9 75.07 216.034
14 97842.4 82991.1 76.241 216.559
6 97354.5 82533.1 75.936 216.149
8 93667.8 79488.3 80.047 220.573
12 93251 79128.6 80.458 222.09
4 90285.2 76616.4 82.064 223.819
10 87874.6 74620.3 83.769 224.54
3 78364.7 66706.1 58.642 802.154
1 77590.6 66185 46.589 790.473
1.60813e+06 1.36516e+06 46.589 83.769 69.978 207.764 802.154 293.11

FORD
tid attemp_tp tp 50lat 99lat
7 112112 92166 66.262 128.714
1 100566 82629.5 73.791 144.027
5 98130.2 80644.1 75.849 144.983
15 92031.9 75682.1 80.789 150.442
6 91167.3 74960.3 81.575 149.552
