FORD
tid attemp_tp tp 50lat 99lat
9 98454.1 67253.1 54.906 195.505
14 98336.8 67124.2 54.939 197.207
8 98307.6 67130.3 54.962 196.807
6 98272.1 67054.1 54.985 197.872
7 98317.2 67092.5 54.989 197.35
5 98308.1 67102.2 54.935 197.112
10 98206.2 67103.4 55.083 197.577
12 98225.2 66988.3 55.052 197.11
15 98247.4 67032.2 55.029 197.01
11 98220.8 66981 54.977 197.722
13 98187.1 67041 55.018 198.386
3 98057 66946.8 55.158 198.648
1 98001.1 66889 55.047 200.008
0 89133.3 60812.6 39.895 793.394
2 84425 57591.1 25.421 714.996
4 81119.7 55403.5 55.916 557.81
1.53182e+06 1.04555e+06 25.421 55.916 52.2695 195.505 793.394 289.657

FORD
tid attemp_tp tp 50lat 99lat
9 97517.7 66523.3 55.145 201.163
7 97506.1 66539.3 55.158 202.927
15 97372.9 66400.1 55.208 202.885
11 97281.4 66342.4 55.268 202.688
13 97199.5 66361.2 55.302 203.603
8 96952.2 66242.5 55.484 203.47
14 96880.5 66158.5 55.528 203.851
10 96866.2 66160 55.593 204.03
6 96862.1 66118.2 55.572 203.54
12 96762.4 66040.2 55.652 203.273
2 96693.6 65962.3 55.683 204.018
0 96712.6 66038.9 55.65 204.996
4 96570.6 65988 55.794 203.849
1 87036.8 59391.7 36.382 642.647
3 80792.8 55198.1 53.829 668.813
5 80169 54692.4 57.469 408.664
1.50918e+06 1.03016e+06 36.382 57.469 54.2948 201.163 668.813 272.776

FORD
tid attemp_tp tp 50lat 99lat
15 38817.8 25994.6 128.867 498.786
13 38755.2 25972.6 128.862 499.239
14 38730.8 25984.5 129.091 500.085
12 38730 25959.9 129.129 500.385
10 38718.3 25994.3 129.152 500.163
8 38695.1 25960.6 129.153 499.51
4 38692.6 25959.7 129.133 500.189
0 38688.2 25935.8 129.169 500.632
6 38680.2 25934.9 129.186 500.753
2 38677 25913.9 129.197 500.41
1 36817 24658.6 128.438 698.624
3 36526.7 24467.8 128.767 774.586
9 36482.5 24455.4 128.68 759.067
7 36467.3 24449.9 128.78 805.05
5 36458.1 24439.1 128.917 813.332
11 36360.3 24353.4 128.562 772.845
606297 406435 128.438 129.197 128.943 498.786 813.332 601.478

