FORD
tid attemp_tp tp 50lat 99lat
3 89275.3 89272 85.554 143.89
1 84266.2 84263.6 91.221 149.556
2 61330.6 61328.4 99.154 642.086
0 56344.3 56342.5 102.316 637.007
291216 291207 85.554 102.316 94.5613 143.89 642.086 393.135

FORD
tid attemp_tp tp 50lat 99lat
5 74842.3 74839 102.09 176.264
3 72525.9 72522.2 105.603 180.971
7 72099.9 72095.7 106.846 175.143
1 69293.9 69290 110.185 187.884
6 60720.8 60717.8 113.961 478.336
0 54919 54916.2 111.175 711.411
2 53403.2 53400.1 113.941 722.502
4 53163.1 53160 118.11 732.477
510968 510941 102.09 118.11 110.239 175.143 732.477 420.623

FORD
tid attemp_tp tp 50lat 99lat
13 59860.8 59855 132.116 211.748
11 58136.9 58132.3 136.502 217.273
3 57280.3 57275.1 137.484 235.806
9 57064.1 57057.4 139.02 220.985
7 55325.4 55319.3 143.577 227.22
15 55277.8 55272 143.184 226.372
5 54986 54981 143.327 251.883
8 54614.6 54610.2 146.188 224.838
14 53938.6 53932.8 147.878 227.256
10 53172.9 53168.1 150.809 230.277
12 52870.6 52865.5 151.725 231.56
1 52907.2 52901.9 149.577 250.2
6 47558.3 47554.6 145.908 767.166
0 45914.2 45909.2 134.519 907.084
4 44689.9 44685.8 141.619 916.58
2 44338.2 44332.8 143.015 879.18
847936 847853 132.116 151.725 142.903 211.748 916.58 389.089

FORD
tid attemp_tp tp 50lat 99lat
15 33074 33068.1 236.536 415.605
23 32408.9 32403.3 242.358 418.191
31 32279.4 32273.2 242.989 419.215
19 32171.7 32166.4 244.35 417.634
11 32031.6 32025.4 245.724 416.319
9 32025.9 32020.2 245.756 422.149
29 31927.8 31921.9 246.497 419.467
27 31780.5 31774.3 247.687 421.944
1 31533.6 31527.8 243.953 469.098
22 31480.8 31474.4 250.471 421.964
17 31477.3 31471.1 250.418 423.144
21 31387.1 31381.1 251.16 422.507
14 31373.8 31368.9 251.467 423.338
25 31375.4 31368.5 251.28 422.204
24 31316.4 31310.4 251.504 428.279
13 31276.2 31270.5 251.71 427.439
12 31260.4 31254.5 253.428 424.649
7 31219 31213.6 252.733 446.039
20 31197.7 31192.2 253.55 430.937
5 31172.1 31166.3 252.23 467.079
26 31118.7 31113.8 255.131 430.829
3 30978 30971.8 250.437 498.973
30 30877.7 30872.3 257.064 428.107
18 30867.3 30861.1 258.464 428.763
28 30815.2 30808.9 258.452 432.106
10 30772.5 30767.3 253.143 486.634
16 30677.5 30671.8 260.501 431.691
0 29115.1 29108.8 221.384 1290.1
2 28940.2 28934.2 211.51 1418.76
4 28536.8 28531.2 229.369 1404.48
6 28377.3 28372.6 251.141 1239.97
8 28110.9 28106 261.201 1151.65
992957 992772 211.51 261.201 247.925 415.605 1418.76 568.727

FORD
tid attemp_tp tp 50lat 99lat
3 34188 34187.9 28.599 37.315
7 34159 34158.8 28.706 35.748
1 34053.4 34053.4 28.734 36.703
5 33810.5 33810.3 28.968 37.209
6 29072.8 29072.6 29.344 138.266
4 28781.3 28781.1 29.413 144.215
2 27217.2 27217 30.052 138.89
0 25990.6 25990.4 29.706 137.654
247273 247272 28.599 30.052 29.1902 35.748 144.215 88.25

FORD
tid attemp_tp tp 50lat 99lat
15 30783.4 30782.9 31.618 44.581
5 30413.3 30412.9 31.827 61.494
9 30400.4 30400.1 31.866 61.514
13 30313.5 30313.3 31.945 60.626
7 30300.8 30300.6 31.938 62.151
3 30138.5 30138.3 32.13 60.559
1 30041 30040.6 32.25 57.897
11 29954.5 29954.3 32.304 60.427
14 26710 26709.6 33.369 129.851
12 25959 25958.9 33.001 162.638
0 25916.8 25916.5 32.418 156.71
2 25912 25911.7 32.005 164.136
10 25821.8 25821.5 32.181 169.008
6 25801.6 25801.1 31.776 175.586
8 25705.9 25705.7 32.307 167.681
4 25489.6 25489.4 32.384 174.158
449662 449657 31.618 33.369 32.2074 44.581 175.586 110.564

FORD
tid attemp_tp tp 50lat 99lat
23 21437.1 21436.9 42.132 88.24
31 21215.2 21214.6 42.698 88.451
9 21198.1 21197.6 41.923 106.717
25 20848.4 20848 43.733 89.773
3 20845 20844.7 42.971 104.792
27 20844.4 20844.1 43.577 90.729
5 20820.7 20820.3 42.86 106.757
13 20739.4 20739 43.066 106.355
21 20610.8 20610.3 44.263 90.415
17 20599.4 20598.8 43.86 96.659
19 20576.2 20575.6 44.256 91.183
26 20574.5 20573.9 44.245 90.44
29 20558 20557.8 44.319 91.019
30 20443.9 20443.3 44.642 90.41
7 20424.2 20423.6 43.943 108.898
15 20423 20422.4 43.963 105.285
24 20399.9 20399.4 44.704 90.993
1 20387.5 20387 44.319 101.532
28 20350.9 20350.3 44.896 91.167
22 20333.9 20333.4 44.986 91.006
20 20294.4 20293.9 45.032 91.608
11 20235.7 20235 44.415 107.91
18 19589.1 19588.7 45.402 128.831
0 18818 18817.5 40.791 234.084
2 18499.4 18498.9 41.398 246.215
4 18470.8 18470.4 40.79 257.714
6 18333.7 18333.3 41.366 262.514
16 18213.3 18212.9 46.752 243.149
8 18117.9 18117.5 43.013 254.101
14 18053.3 18053 45.228 256.144
10 17937.1 17936.5 43.469 262.45
12 17933.5 17933.3 44.354 257.636
638127 638112 40.79 46.752 43.6677 88.24 262.514 141.349

FORD
tid attemp_tp tp 50lat 99lat
25 8319.02 8318.63 117.765 187.063
55 8317.36 8316.96 116.867 189.652
56 8156.07 8155.71 119.619 193.846
35 8124.96 8124.63 120.467 195.331
26 8098.65 8098.26 119.975 194.466
61 8079.42 8078.95 121.062 197.267
57 8077.58 8077.19 121.174 196.678
58 8001.42 8001.13 122.242 199.316
37 7943.17 7942.74 123.659 195.08
60 7941.71 7941.36 122.681 198.183
45 7860.91 7860.68 124.95 205.917
54 7860.04 7859.65 124.504 203.051
53 7857.99 7857.59 125.105 205.394
59 7820.38 7819.98 126.197 208.819
39 7803.48 7803.06 126.504 208.248
43 7802.64 7802.25 126.024 204.956
24 7723.77 7723.39 126.326 227.751
27 7718.22 7717.89 127.199 208.269
50 7713.92 7713.56 127.016 208.519
41 7712.38 7711.93 127.671 212.119
33 7707 7706.53 127.795 210.617
29 7704.57 7704.23 127.992 211.919
28 7697.73 7697.47 127.564 210.013
49 7680.42 7680 128.295 210.124
51 7668.58 7668.28 128.863 203.017
48 7667.65 7667.18 128.308 211.981
52 7667.41 7667.01 129.009 205.284
63 7666.78 7666.35 128.73 211.467
38 7665.3 7665.01 128.311 210.334
42 7661.3 7660.92 128.66 212.026
1 7656.42 7656.02 119.091 608.888
40 7655.72 7655.41 128.854 211.734
30 7654.67 7654.33 129.004 203.145
34 7651.13 7650.68 129.13 202.755
36 7648.5 7648.11 129.019 211.626
47 7646.42 7646.01 129.574 216.1
62 7641.86 7641.54 129.339 214.142
31 7638.43 7638.02 129.785 213.121
32 7630.72 7630.27 129.771 213.022
23 7619.57 7619.12 129.186 299.903
9 7618.82 7618.46 118.551 642.76
3 7610.94 7610.6 118.141 657.933
46 7607.82 7607.47 130.742 214.843
7 7596.28 7595.95 119.089 670.109
44 7592.92 7592.52 131.426 216.428
11 7576.29 7575.97 121.204 655.133
21 7555.89 7555.41 127.858 495.586
17 7545.26 7544.91 123.637 604.824
13 7486.95 7486.57 124.879 659.075
