FORD
tid attemp_tp tp 50lat 99lat
3 96503.1 82392.1 87.196 155.233
1 91776.5 78360.7 91.604 163.548
2 66747.1 56941.8 100.041 531.141
0 60191 51288.4 105.766 518.828
315218 268983 87.196 105.766 96.1518 155.233 531.141 342.188

FORD
tid attemp_tp tp 50lat 99lat
5 95417.3 74315.1 92.028 163.904
7 91381.5 71119.3 96.172 169.304
3 89283.2 69469.9 98.056 177.805
1 84542.7 65792.9 103.457 186.559
6 82013.9 63791 107.07 187.243
4 76033 59161.8 103.843 427.282
2 64366.7 50022.5 102.998 621.035
0 62417 48451.3 106.04 606.116
645455 502124 92.028 107.07 101.208 163.904 621.035 317.406

FORD
tid attemp_tp tp 50lat 99lat
9 159935 44198.4 79.502 202.474
8 155117 42832.6 82.623 210.466
7 141265 38794.6 89.837 214.813
5 141154 38947.9 89.946 215.483
11 138928 38253.7 91.451 216.069
13 138675 38214.4 91.843 216.041
4 138624 38170.8 92.061 221.299
3 138330 38007.9 91.621 218.427
14 134936 37007.4 94.442 222.029
10 134890 36982.1 94.275 221.745
6 132981 36495.8 95.646 222.942
12 132834 36425.3 95.637 220.981
15 131749 36105 96.447 220.13
1 125681 34455.8 100.226 235.461
2 98223.4 27061 92.479 641.427
0 91300.6 24442.3 75.953 845.059
2.13462e+06 586395 75.953 100.226 90.8743 202.474 845.059 284.053

FORD
tid attemp_tp tp 50lat 99lat
7 81907.8 10011.8 187.073 631.885
31 77220.5 9480.05 203.395 632.571
21 76888.7 9445.62 203.057 629.267
11 76886.4 9411.89 196.762 641.129
13 76312.5 9392.47 195.055 641.929
9 75880.6 9282.4 203.301 646.528
19 75645.4 9265.05 202.532 648.101
24 73829 9038.74 206.723 644.621
25 72496.7 8877.23 217.528 647.299
20 72460.3 8872.76 213.198 640.517
28 72326.6 8810.47 211.644 645.335
8 72319.2 8885.21 208.636 645.745
10 72255.2 8828.5 213.464 647.675
12 72079.2 8812.76 216.711 643.348
1 71971 8769.38 222.408 656.761
26 71438.5 8718.71 218.813 644.242
30 71138.6 8655.01 218.092 647.356
23 71139.4 8723.04 220.302 651.856
15 70843.4 8620.02 224.207 645.268
16 69411 8512.71 223.007 648.09
18 69264.7 8443.03 224.213 648.841
3 68746.1 8378.98 246.172 666.297
6 68428.4 8346.15 228.06 645.053
17 68352 8336.61 234.193 651.577
29 68280.7 8367.11 234.83 645.278
22 68185.2 8356.78 229.404 649.501
14 68115.5 8319.7 231.163 650.573
5 67640.6 8306.74 238.95 654.604
27 67440.5 8223.02 243.159 642.776
0 62410.8 7340.76 153.671 1442.36
2 61042.7 7345.15 201.987 1201.42
4 60392.7 7357.16 256.626 928.219
2.27275e+06 277535 153.671 256.626 216.51 629.267 1442.36 697.063

FORD
tid attemp_tp tp 50lat 99lat
7 43912.9 37549.1 25.721 36.85
3 43570.3 37258.3 25.912 37.752
5 43193.6 36939.7 26.133 37.923
1 42171.3 36052.2 26.748 39.101
2 35072.6 29964.3 27.128 110.372
4 34852.3 29775.3 27.184 113.699
6 34742.4 29699 27.7 111.732
0 31977.1 27330.8 28.466 112.955
309493 264569 25.721 28.466 26.874 36.85 113.699 75.048

FORD
tid attemp_tp tp 50lat 99lat
3 49839.5 29704.9 27.24 48.738
15 49319.5 29376.5 27.698 42.953
13 49220.9 29386.4 27.706 43.131
1 49027.3 29167.9 27.711 47.79
9 48980.6 29211.5 27.756 45.66
11 48265.1 28721.2 28.375 43.929
7 47881.8 28526.6 28.265 52.436
5 47524.2 28289.6 28.59 50.652
12 46382.9 27609.6 29.543 45.579
14 45807.2 27254.6 29.918 46.686
10 44220.9 26303.5 29.046 84.746
8 38770.5 23101 29.262 135.115
0 38401 22759.1 28.603 152.684
6 37876.2 22550 28.744 144.458
2 37692.9 22437.5 28.739 148.477
4 37014 22044 28.984 149.607
716225 426444 27.24 29.918 28.5112 42.953 152.684 80.1651

FORD
tid attemp_tp tp 50lat 99lat
