FORD
tid attemp_tp tp 50lat 99lat
3 308664 213335 16.377 109.061
2 297829 205440 17.131 113.555
1 291740 201375 17.342 113.206
0 190945 130777 15.371 425.001
1.08918e+06 750928 15.371 17.342 16.5552 109.061 425.001 190.206

FORD
tid attemp_tp tp 50lat 99lat
7 196477 133452 25.172 200.818
3 192461 130755 25.72 203.28
2 191214 129786 25.983 204.398
5 191389 130018 25.812 204.506
6 190990 129713 25.976 205.167
4 189767 128811 26.19 206.901
1 189177 128443 26.132 205.06
0 143443 96317.9 19.195 540.927
1.48492e+06 1.00729e+06 19.195 26.19 25.0225 200.818 540.927 246.382

FORD
tid attemp_tp tp 50lat 99lat
8 98541.5 66043.7 49.271 399.016
15 98548 65892.8 49.204 399.89
7 98517.8 65942.8 49.203 401.277
9 98384.6 65852 49.295 399.753
13 98204.7 65700.5 49.384 404.016
6 98104.7 65643.3 49.539 402.23
12 97998 65559.3 49.57 401.748
10 97965.7 65621.9 49.694 402.941
11 97986.4 65509.5 49.523 402.677
14 97918.7 65548.5 49.699 402.736
5 97953.5 65590.7 49.386 401.711
3 96792.9 64757.4 49.979 412.634
1 96814.8 64751.2 49.941 418.081
0 86302 56805.8 33.83 939.258
2 81293.5 54021.4 35.956 933.131
4 79384.8 53091.8 49.882 696.319
1.52071e+06 1.01633e+06 33.83 49.979 47.7098 399.016 939.258 488.589

FORD
tid attemp_tp tp 50lat 99lat
9 47510.9 31393.6 99.119 820.367
19 47363.9 31307.6 99.441 822.544
11 47365.1 31265.9 99.401 826.545
31 47342.7 31268.8 99.375 827.547
15 47339.7 31243.9 99.544 827.149
29 47341.2 31266.8 99.533 821.758
25 47333 31284.9 99.666 827.823
21 47327.5 31302.5 99.482 826.409
18 47316.6 31305.3 99.64 833.944
23 47321.6 31312.3 99.441 827.161
12 47313.1 31256.2 99.621 827.217
17 47324 31284.4 99.555 822.925
20 47314.5 31247.6 99.783 828.334
13 47314.5 31256.1 99.4 830.516
30 47280.8 31267 99.846 829.148
14 47267.8 31248.5 99.797 826.535
26 47265.8 31218.5 99.852 828.825
24 47260 31224.2 99.827 829.615
10 47257.7 31252.2 99.878 828.46
16 47246.5 31231.7 99.851 830.739
28 47247.6 31233.3 99.946 826.885
22 47245.4 31199.4 99.774 829.038
27 47251.2 31251.2 99.825 826.118
1 47112.2 31125.8 99.245 855.5
3 47010.4 31040.2 100.12 851.883
7 46983.4 31043.9 100.222 839.632
5 46963.3 31044.2 100.285 844.892
8 46496.9 30759.7 98.993 883.229
0 45565.6 29784.1 85.203 1390.94
2 45038.6 29518.4 82.065 1358.83
4 44674.7 29423.6 87.883 1310.35
6 44185.3 29153.4 93.406 1268.08
1.50218e+06 992015 82.065 100.285 98.0943 820.367 1390.94 894.655

FORD
tid attemp_tp tp 50lat 99lat
7 83467.4 56738.3 6.848 45.418
5 82812.4 56315.7 6.829 45.992
3 82265.6 55927.3 6.857 46.158
6 81134.2 55137.5 6.875 47.643
1 80542.6 54747.2 7.114 47.295
4 63866 43369.4 6.7 63.709
0 61556.4 41370.1 6.488 81.961
2 61151.3 41341 6.474 75.849
596796 404946 6.474 7.114 6.77313 45.418 81.961 56.7531

FORD
tid attemp_tp tp 50lat 99lat
9 71925.4 48163.3 8.23 57.228
11 71781 48047.9 8.272 57.585
7 71385.7 47794.7 8.331 58.079
13 71215.1 47683.3 8.335 58.011
15 71068 47552.1 8.386 58.19
12 70692.1 47331.1 8.344 58.887
8 70567.7 47311 8.357 59.051
14 70319.5 47085.4 8.41 59.227
5 70166.7 47008 8.294 58.691
3 70013.9 46866.5 8.333 59.127
10 69945.8 46848.7 8.461 59.78
1 69331 46404.5 8.432 60.219
6 59406.6 39782 8.307 66.286
0 55195.6 36383.5 7.249 125.895
4 53162.7 35532.9 7.775 88.734
2 52694.2 35059.2 7.467 97.96
1.06887e+06 714854 7.249 8.461 8.18644 57.228 125.895 67.6844

FORD
tid attemp_tp tp 50lat 99lat
9 46708.7 30911.9 12.951 106.387
29 46352.8 30657.3 13.036 107.193
23 46297.6 30683.7 13.108 107.033
21 46280.4 30657.4 13.027 107.343
25 46231 30606.2 13.064 107.527
31 46198.7 30562.4 13.091 107.526
19 46190.1 30582.1 13.068 107.455
15 46100.1 30472.3 13.123 107.491
13 46083.4 30499.7 13.056 108.05
11 46072.7 30454 13.116 107.795
17 46053.4 30486.3 13.111 107.515
27 46049.5 30476.6 13.127 107.7
10 45903 30394.1 13.154 108.796
24 45808.8 30318.2 13.191 108.685
22 45740.1 30251.4 13.2 108.825
18 45733.6 30303.6 13.226 109.488
30 45718.7 30265.7 13.225 109.25
20 45711.2 30228.7 13.291 108.477
16 45711.6 30253.5 13.199 109.52
14 45678.6 30235.9 13.205 109.368
28 45671.4 30225.2 13.243 108.633
26 45639.6 30178.9 13.236 109.391
7 45630.5 30193.2 13.067 108.725
12 45602.3 30161.8 13.234 108.939
1 45474.3 30083.5 12.939 112.509
8 45262.2 29986 13.201 109.286
5 44986.9 29767.2 13.052 111.165
3 44965.2 29717.7 13.036 112.268
0 39659.2 25920.7 10.744 187.271
6 38283.1 25308.3 12.325 132.4
