FORD
tid attemp_tp tp 50lat 99lat
3 15395.9 4276.21 77.52 8041.13
1 13496.6 3693.36 87.022 9497.32
2 10138.6 2788.32 85.763 8716.67
0 9352.37 2747.17 99.366 9318.59
48383.5 13505.1 77.52 99.366 87.4177 8041.13 9497.32 8893.43

FORD
tid attemp_tp tp 50lat 99lat
6 12799.1 1297.83 179.083 14011.8
5 12779 1289.27 183.22 14387.5
4 12590 1244.02 182.156 14446
3 12428.5 1235.39 185.657 14622.5
7 12424.5 1241.08 182.984 14461.4
1 11526.1 1145.01 194.641 15395.9
2 9151.89 911.162 162.219 40439.3
0 9143.78 920.87 142.241 31484.5
92842.8 9284.63 142.241 194.641 176.525 14011.8 40439.3 19906.1

FORD
tid attemp_tp tp 50lat 99lat
13 5611.3 512.704 387.959 33423.4
11 5610.67 510.908 397.002 33099.7
10 5609.99 512.921 393.065 33374.6
12 5583.57 507.993 384.422 33851
7 5571.11 506.804 388.914 33508.6
5 5570.81 514.353 408.753 33735.1
1 5568.89 503.093 393.388 34178.2
14 5534.44 499.76 392.094 33593.7
15 5525.28 500.701 397.338 34210.9
3 5517.54 502.041 403.654 33681.9
9 5438.05 500.736 398.443 34648.4
0 5116.53 474.661 350.91 44891.4
2 5023.74 461.732 323.367 48216.4
4 4995.67 453.057 332.529 49658.4
6 4948.71 457.062 342.431 36194.9
8 4864.59 448.029 417.711 46729.4
86090.9 7866.56 323.367 417.711 381.999 33099.7 49658.4 37312.3

FORD
tid attemp_tp tp 50lat 99lat
5 1946.06 170.202 1653.29 85657.8
1 1941.77 166.856 1662.51 86268.4
13 1934.03 166.771 1644.29 85902.7
28 1933.75 166.883 1636.71 85625.9
31 1926.78 163.564 1642.99 86579.9
11 1920.66 165.311 1652.68 86474.4
3 1919.22 165.437 1684.84 86171.8
29 1911.89 166.831 1647.99 86631.8
17 1907.16 161.174 1671.39 86310.2
19 1906.93 162.432 1635.56 86679.2
15 1905.06 162.083 1649.95 86582.6
23 1904.49 165.139 1646.93 86818.6
25 1896.88 162.316 1642.54 85677
26 1896.05 162.852 1658.38 86679.3
7 1896.02 163.266 1643.66 85656.8
9 1893.59 163.777 1627.21 85468.6
30 1893.1 163.867 1630.8 86076.9
27 1891.22 162.985 1636.79 86148.2
21 1888.36 163.589 1638.65 85744.1
4 1866.96 158.86 1631.41 92009.8
2 1865.4 159.846 1566.26 98745.2
0 1865.33 161.687 1583.54 92152.7
8 1863.94 160.075 1614.57 91063.6
6 1861.7 162.043 1572.87 94395.6
18 1861.63 161.794 1558.05 91406.5
16 1859.26 157.907 1516.72 91585
10 1857.99 160.345 1548.36 94186.6
14 1857.05 159.26 1528.65 92026
12 1855.96 159.112 1507.24 90825.8
20 1853.83 159.114 1555.05 91649.3
22 1841.74 159.642 1616.79 87738.2
24 1841.31 158.629 1683.6 86703.1
60465.1 5203.65 1507.24 1684.84 1618.45 85468.6 98745.2 88488.8

FORD
tid attemp_tp tp 50lat 99lat
5 4129.06 1877.49 46.223 2992.2
3 4046.26 1815.72 47.057 3054.34
7 4029.16 1809.74 46.488 3052.78
1 4017.89 1800.46 47.558 3097.21
4 3495.28 1442.4 46.691 3122.41
6 3473.52 1459.64 46.381 3099.96
2 3285.48 1373.43 47.618 3200.61
0 3116.7 1311.38 48.094 3194.57
29593.4 12890.3 46.223 48.094 47.0138 2992.2 3200.61 3101.76

FORD
tid attemp_tp tp 50lat 99lat
13 3582.95 383.089 94.355 3772.25
9 3581.83 388.485 93.988 3776.93
7 3560.97 381.665 94.064 3790.09
15 3541.01 376.196 95.159 3811.17
11 3527.92 377.875 94.239 3825.19
5 3523.8 378.456 93.956 3867.72
1 3522.78 375.494 95.446 3873.76
14 3514.96 373.219 93.721 3817.16
3 3501.03 372.65 94.076 3856.2
8 3023.02 329.963 92.584 8041.46
0 3013.53 325.763 93.093 4861.87
2 2996.2 323.05 92.946 7245.38
12 2989.92 322.612 94.187 5520.76
4 2958.84 317.75 93.746 5991.07
10 2953.65 322.154 92.883 6813.32
6 2913.78 319.613 93.443 5425.75
52706.2 5668.03 92.584 95.446 93.8679 3772.25 8041.46 4893.13

FORD
tid attemp_tp tp 50lat 99lat
19 2119.22 213.426 176.966 6722.18
31 2117.67 212.656 177.749 6680.94
29 2112.5 217.25 178.042 6825
5 2112.46 217.689 179.553 6716.59
13 2110.82 213.868 177.861 6621.47
25 2109.87 214.531 176.95 6614.91
23 2109.15 217.369 176.595 6775.14
1 2106.18 213.883 178.544 6920.11
3 2104.97 214.034 179.908 6745.6
28 2103.11 213.213 173.656 6731.57
7 2101.52 215.07 179.495 6786.36
11 2099.28 213.476 178.983 6830.81
17 2098.7 209.765 179.508 6659.84
24 2097.16 214.141 179.705 6763.77
26 2095.81 213.039 176.013 6630.58
15 2091.82 211.609 177.835 6802.79
30 2090.8 216 176.801 6653.84
27 2087.19 213.29 175.196 6629.12
9 2086.88 213.926 176.505 6858.44
21 2076.27 212.963 178.665 6799.07
0 1964.47 203.656 169.849 7703.76
22 1946.19 199.659 180.093 8096.57
2 1936.93 198.458 171.493 11773.2
8 1918.79 198 169.895 12797.7
18 1910.27 198.172 174.366 12748.2
4 1909.66 194.958 173.529 12863.1
20 1904.29 196.827 179.551 9034.21
6 1902.52 199.136 170.754 13935.8
10 1893.86 197.019 165.472 13815.7
14 1890.38 195.352 168.104 13035.4
16 1887.39 193.835 167.622 14342.4
12 1873.63 194.427 168.204 14807.7
64969.8 6650.7 165.472 180.093 175.421 6614.91 14807.7 8741.31

FORD
tid attemp_tp tp 50lat 99lat
45 910.742 87.1944 528.843 17912.9
1 908.305 87.5878 528.637 18715.5
13 905.885 87.8799 527.02 17702
35 905.573 86.4189 522.911 17763.3
43 905.421 86.9295 527.84 17894.8
29 904.588 88.3059 530.089 17852.5
5 904.247 87.8837 528.442 17963
